group,total_income,salary,dividend,interest,rental,business,other,withholding_tax,salary_ratio,dividend_ratio,interest_ratio,rental_ratio,business_ratio,other_ratio,shannon_entropy,tax_burden_rate
low,232339,16754,118920,95303,0,1,1358,9854,0.07211014939377375,0.5118383052350229,0.41018942149187176,0.0,4.304055711697132e-06,0.005844907656484706,1.3389123888960406,0.04241216498306354
low,174026,16217,118354,24996,148,13954,354,9767,0.09318722489742912,0.6800937790904807,0.14363370990541643,0.0008504476342615471,0.08018342086814614,0.002034178800868836,1.4181934459139953,0.056123797593463046
low,201100,16785,89726,82914,2,0,11670,10101,0.08346593734460467,0.4461760318249627,0.41230233714569864,9.945300845350572e-06,0.0,0.058030830432620584,1.584035636241321,0.050228741919443064
low,174628,25804,136500,11295,0,7,1019,9058,0.14776553588198915,0.781661589206771,0.06468034908491192,0.0,4.008520970291133e-05,0.005835261241038093,0.9848291758255004,0.051870261355567264
low,137708,32334,52849,47373,0,10,5139,6489,0.23480117349754553,0.38377581549365325,0.3440105150027595,0.0,7.261742237197549e-05,0.0373180933569582,1.7287289915566513,0.04712144537717489
low,296713,78365,193434,24146,0,3,763,14303,0.2641104366846077,0.6519229019287999,0.08137830159109982,0.0,1.0110780451143024e-05,0.002571508494740709,1.2265003107980665,0.048204830930899556
low,153938,43789,77291,7703,7424,857,16871,7154,0.284458678169133,0.502091751224519,0.050039626343073185,0.0482272083566111,0.005567176395691772,0.10959607114552612,1.8334234483824576,0.04647325546648651
low,159799,108209,43502,5900,0,1567,619,7422,0.6771569283912916,0.2722294882946702,0.03692138248674898,0.0,0.00980606887402299,0.0038736162303894266,1.1640485681447332,0.046445847596042526
low,272066,39840,205338,14255,0,11413,1216,15988,0.14643505619959862,0.7547359831805518,0.052395374651738914,0.0,0.04194937992986996,0.004469503723361243,1.1619851746593703,0.05876515257327266
low,523476,114490,373808,22230,0,4679,8267,25047,0.21871107748970345,0.7140881339354622,0.042466130252389794,0.0,0.008938327640617716,0.01579251006731923,1.1754200921797124,0.047847465786397085
low,250205,29358,142481,43076,0,109,35178,10593,0.11733578465658161,0.5694570452229172,0.17216282648228454,0.0,0.0004356427729262005,0.14059671069722826,1.665091352045164,0.04233728342758938
low,141109,30612,83142,22018,3787,0,1546,5738,0.21693867861015242,0.5892040904548965,0.15603540525409434,0.026837409378565505,0.0,0.01095606942151103,1.5575407919851563,0.040663600479062284
low,325669,111217,128318,65599,0,3870,16662,14666,0.3415031826793462,0.39401355363881735,0.20142844421790224,0.0,0.011883231133451449,0.051162376523402595,1.8198195604614293,0.04503345421271291
low,165520,28542,123900,12126,0,883,66,9706,0.17243837602706621,0.7485500241662639,0.07326002899951667,0.0,0.005334702754954084,0.0003987433542774287,1.0710763917008161,0.058639439342677624
low,78027,23437,25515,5350,0,4265,19456,3315,0.30037038461045534,0.32700219154907917,0.06856600920194292,0.0,0.05466056621425917,0.249349584118318,2.0424797226108002,0.04248529355223192
low,125342,60105,44839,18705,0,275,1416,6862,0.47952801136091655,0.3577332418502976,0.1492317020631552,0.0,0.0021939972235962405,0.011297091158590098,1.540977887422437,0.05474621435751783
low,156621,14029,106560,25543,9065,1391,30,6822,0.08957291806335038,0.6803685329553508,0.16308796393842462,0.057878573115993384,0.008881312212283155,0.0001915451950887812,1.4173095806691427,0.04355737736318884
low,116663,21120,85996,9425,0,4,115,5984,0.1810342610767767,0.7371317384260648,0.08078825334510513,0.0,3.4286791870601646e-05,0.0009857452662797974,1.07430267926141,0.051293040638420065
low,209907,144880,32424,7550,5793,169,19087,8502,0.6902104265222218,0.1544684074375795,0.03596830977528143,0.02759793622890137,0.0008051184572215314,0.09093074552063533,1.4237164010482688,0.04050365161714473
low,214526,88987,106231,15114,0,3298,893,11679,0.41480752915730496,0.4951893942925333,0.07045299870411978,0.0,0.015373427929481742,0.004162665597643176,1.4238459496406084,0.054440953544092556
low,147765,42102,95499,8907,0,4,1252,7156,0.2849253882854533,0.6462897167800223,0.060278144350827324,0.0,2.7070009812878557e-05,0.008472913071430988,1.2260864605521924,0.04842824755523974
low,135912,14311,63474,38823,25,30,19245,7797,0.10529607393019012,0.46702277944552356,0.28564806639590323,0.00018394255106245216,0.0002207310612749426,0.14159897580787567,1.775592762200859,0.05736800282535758
low,112363,30916,39446,41982,0,0,17,4759,0.27514395308064044,0.35105862250028924,0.373628329610281,0.0,0.0,0.00015129535523259436,1.5750146757261638,0.04235379973834803
low,258748,15319,191140,19642,0,16309,16335,11257,0.059204322352250066,0.7387110238533244,0.07591169786819608,0.0,0.06303043888261939,0.06313092275109373,1.3495187401875912,0.0435056502852196
low,244136,43618,163344,17328,0,33,19809,12531,0.17866271258642724,0.6690696988563751,0.07097683258511649,0.0,0.00013517056067110137,0.08113920110102565,1.3984543751001839,0.05132794835665367
low,214085,112136,71258,30100,6,51,530,11681,0.5237919517948478,0.33284910199219936,0.14059836046430157,2.8026251255342506e-05,0.0002382231356704113,0.002475652194221921,1.4395822801672706,0.054562440152275966
low,107692,43581,32799,11254,0,31,20025,4706,0.40468187051963006,0.3045630130371801,0.10450172714779185,0.0,0.0002878579653084723,0.18594695984845672,1.8457436675761276,0.04369869628198938
low,244689,75460,97756,56452,0,6,15012,10671,0.3083914683537061,0.39951121627862307,0.23070918594624196,0.0,2.4520922477103587e-05,0.06135134803771318,1.7877905396154805,0.04361046062552873
low,302426,91387,137074,41474,15345,12631,4512,12320,0.30217970677124323,0.4532480672958013,0.137137679961379,0.05073968507998651,0.04176558893745908,0.014919352172101606,1.9323180494546226,0.04073723820041927
low,181570,15901,152781,7631,0,967,4288,10480,0.08757503992950377,0.8414440711571295,0.042027868039874426,0.0,0.005325769675607204,0.023616236162361623,0.877272491021835,0.05771878614308531
low,329680,20664,194307,60315,1608,641,52142,18252,0.06267896141713176,0.5893806115020626,0.18295013346275177,0.004877456927930114,0.0019443096335840814,0.1581594273234652,1.6240693810924443,0.05536277602523659
low,201494,27656,115005,45371,0,0,13460,8939,0.1372547073361986,0.5707614122504888,0.22517295800371226,0.0,0.0,0.0668009965557287,1.6001271437435571,0.044363603879023696
low,143314,22881,41133,70037,7063,900,1297,6364,0.1596564187727647,0.2870131320038517,0.4886961497132171,0.049283391713300866,0.006279916825990483,0.009050057914788506,1.7656726913398704,0.04440598964511492
low,151622,57141,70426,13737,341,7,9967,6342,0.37686483491841555,0.46448404585086595,0.09060030866233132,0.0022490139953304927,4.616744271939428e-05,0.06573584308345755,1.6369139543525681,0.04182770310377122
low,123658,18750,74572,20192,0,65,10077,5146,0.1516278768862508,0.6030503485419464,0.16328907147131605,0.0,0.0005256433065390027,0.08149088615374663,1.5800701996993518,0.04161477623768781
low,305025,142501,128788,17149,5153,5676,5755,17065,0.4671781001557249,0.4222211294156217,0.05622162117859192,0.016893697237931316,0.018608310794197197,0.01886730595852799,1.5861169217234772,0.05594623391525285
low,287192,61861,157569,37596,108,1,30055,13412,0.21539945402378896,0.5486538622245745,0.13090893896765926,0.0003760550433159698,3.481991141814535e-06,0.10465124376723586,1.6813678153825111,0.04670046519401655
low,150075,37294,64877,38802,60,1157,7882,8343,0.2485024154589372,0.43229718474096285,0.25855072463768114,0.000399800099950025,0.0077094785940363154,0.05252040646343495,1.8086442506695173,0.055592203898050974
low,219990,44488,135676,39320,0,51,452,10321,0.20222737397154417,0.6167371244147462,0.1787353970635029,0.0,0.00023182871948724943,0.0020546388472203283,1.3614978437718859,0.0469157688985863
low,163187,44491,74522,29325,0,452,14394,7420,0.2726381390674502,0.45666627856385617,0.1797018144827713,0.0,0.0027698284789842327,0.08820555558959967,1.8050880899839856,0.04546930821695356
low,120905,26074,42688,27982,128,20030,3999,5851,0.2156569207228816,0.35307059261403584,0.23143790579380505,0.0010586824366237955,0.16566725941855176,0.03307555518795749,2.099040476299346,0.04839336669285803
low,121031,49747,43700,11991,0,948,14642,7184,0.4110269269856483,0.3610645206599962,0.09907379101222001,0.0,0.007832704017978864,0.12097727028612504,1.811755236154907,0.05935669373962043
low,220262,33148,118752,29847,0,16584,21929,9327,0.15049350319165358,0.5391397517501885,0.1355068055315942,0.0,0.07529215207343981,0.0995587073576014,1.8947472116757893,0.04234502546966794
low,229739,43323,180246,6051,0,78,39,10992,0.18857486103796048,0.7845685756445357,0.02633858421948385,0.0,0.00033951571130717904,0.00016975785565358952,0.8727104526220919,0.047845598701134764
low,531585,77018,368623,83229,15,30,2667,27835,0.14488369686879804,0.6934413123018897,0.1565676232399334,2.8217500493806258e-05,5.6435000987612516e-05,0.005017071587798753,1.2284283142598749,0.05236227508300648
low,243936,121052,112083,844,0,159,9795,13663,0.49624491669946214,0.45947707595434867,0.003459923914469369,0.0,0.00065181031090122,0.04015397481306572,1.2385755027397094,0.056010592942411126
low,162319,17952,104713,27789,0,1960,9903,7594,0.11059703423505567,0.6451062414135129,0.17119992114293459,0.0,0.012074988140636648,0.06100949365139016,1.5183032553991698,0.04678441833673199
low,207009,45667,134890,5995,0,7,20447,12320,0.2206039350946094,0.6516141810259457,0.028960093522503852,0.0,3.381495490534228e-05,0.0987734832785048,1.3620183658650176,0.05951432063340241
low,130885,13071,45476,47898,0,23658,780,5424,0.09986629483898078,0.34745005157199066,0.36595484585705007,0.0,0.18075409710814838,0.005959430033999312,1.8827026947064427,0.04144095962104137
low,305934,58383,119706,110647,6226,397,10572,17748,0.19083527819725823,0.3912804722587225,0.36166951041727957,0.020350794615832172,0.0012976655095543483,0.034556472964757105,1.8109270922290743,0.05801251250269666
low,102901,9226,61234,21811,165,0,10461,4624,0.08965899262397839,0.5950768214108706,0.21196101106889145,0.0016034829593492774,0.0,0.10166081962274419,1.5821626504939923,0.04493639517594581
low,185723,52132,103288,1136,14051,1420,13694,11031,0.2806975980357845,0.5561400580434303,0.0061166360655384635,0.07565568077190224,0.007645795081923079,0.07373346327595398,1.643113289666434,0.05939490531598133
low,106122,25282,75614,3114,1,1166,943,4322,0.23823523868754828,0.7125195529673395,0.029343585684400972,9.423116790109497e-06,0.010987354177267672,0.008885999133073256,1.1230558719240167,0.04072671076685325
low,277489,99742,132766,35570,0,23,9386,11317,0.3594448788961004,0.478455001819892,0.1281852613977491,0.0,8.288616846073178e-05,0.03382476422488819,1.5857420349608602,0.040783598629134846
low,187651,18876,105633,952,49392,0,12796,9212,0.10059099072213844,0.5629226596181208,0.0050732476778700885,0.2632120265812599,0.0,0.06819041731725384,1.609689032528538,0.049091131941742916
low,85335,40257,32042,1258,4500,507,6767,4595,0.47175250483389,0.37548485381144897,0.01474189957227398,0.05273334505185446,0.005941290209175602,0.07929923243686647,1.6894034067325312,0.053846604558504714
low,195311,86424,71668,33814,213,4,3186,8228,0.44249427835605776,0.366942978122072,0.17312900963079397,0.0010905683755651244,2.048015728760797e-05,0.016312445279579747,1.5971712484976193,0.04212768354060959
low,295600,35873,195736,32997,0,6730,24262,16659,0.12135656292286874,0.6621650879566983,0.11162719891745602,0.0,0.02276725304465494,0.08207713125845738,1.5364469967505414,0.05635656292286874
low,207504,42371,132761,7378,1,23,24967,10871,0.20419365409823426,0.6397997147042949,0.03555594109029223,4.819184208497185e-06,0.00011084123679543527,0.12032057213354923,1.4205219235092352,0.052389351530572906
low,80424,11530,11211,52030,0,529,5121,4524,0.1433651646274744,0.13939868695911667,0.6469461852183428,0.0,0.006577638515865911,0.06367502238137869,1.505142961519606,0.056251865114891074
low,178730,64963,83029,19133,0,7599,4003,9709,0.36347003860571814,0.4645498797068203,0.10704973983103004,0.0,0.04251664521904549,0.022396911542550215,1.7060723070042076,0.05432216192021485
low,155341,7721,91829,5001,321,742,49724,8717,0.04970355540391783,0.5911446430755564,0.03219369001100804,0.0020664216143838395,0.0047765882799775975,0.32009578926362003,1.4044718178751474,0.05611525611396862
low,156862,32093,77110,25430,0,1106,21121,7383,0.2045938468207724,0.4915785849982787,0.16211702005584527,0.0,0.007050783491221583,0.13464701457331923,1.8374127227036772,0.0470668485675307
low,266618,34533,121838,82779,149,1706,25610,11820,0.12952238783578002,0.4569758981014035,0.31047791221897997,0.0005588519904882641,0.006398667756865628,0.09605503004298284,1.7994717470453,0.044333090789069
low,322720,171441,120501,5755,558,365,24098,13737,0.5312376053544868,0.3733917947446703,0.017832796232027763,0.0017290530490827961,0.0011310114030738721,0.07467154189390184,1.4255207634791187,0.04256631135349529
low,223190,48626,144033,29942,0,14,574,9229,0.21786818405842556,0.6453380527801424,0.13415475603745688,0.0,6.272682467852502e-05,0.002571799811819526,1.2985343221639543,0.041350418925579106
low,154196,43168,75591,28679,0,613,6143,6708,0.27995538146255416,0.49022672442864923,0.18599055747230797,0.0,0.003975459804404784,0.039838906327012376,1.6866747437462077,0.043503074009701936
low,133043,27172,40848,3248,93,8352,53328,6758,0.20423472110520657,0.3070285546778109,0.024413159655149088,0.000699022120667754,0.06277669625609765,0.4008328134512902,1.9085500409562837,0.05079560743519013
low,203777,83429,102064,14613,1235,0,2434,8508,0.4094132311301079,0.5008612355663299,0.0717107426255171,0.006060546577876797,0.0,0.011944429449839776,1.4206531889575864,0.04175152249763221
low,204757,101499,88948,901,12265,8,1133,9748,0.4957046645535928,0.43440761488007734,0.004400337961583731,0.05990027202977188,3.9070703321498165e-05,0.005533388357907178,1.3441930676819034,0.047607651997245516
low,248223,92592,137646,13729,0,2906,1347,14509,0.3730194220519452,0.5545255677354637,0.05530913734827152,0.0,0.011707214883391144,0.005426572074304154,1.3493543454085284,0.05845147307058572
low,530014,86681,256897,10383,0,0,176050,31438,0.16354473655412877,0.4846985173976536,0.019590048564754894,0.0,0.0,0.3321610372556197,1.572950991563849,0.05931541430981068
low,96157,19144,46910,13719,73,0,16308,3958,0.19909106981291014,0.48784799858564637,0.14267292032821324,0.0007591750990567509,0.0,0.16959763719749993,1.8115530611934705,0.041161849891323564
low,157826,37307,89579,18792,13,8207,3925,7976,0.23638057100857907,0.5675807534880184,0.11906783419715383,8.236919138798423e-05,0.05200030413239897,0.02486915970752601,1.6766481460557086,0.05053666696235094
low,130238,44435,61565,20904,3029,246,56,7189,0.3411830648505045,0.47271149741242957,0.1605061502787205,0.023257421029192708,0.0018888496444969978,0.0004299820328936255,1.6120132733882857,0.05519894347271918
low,206539,23064,133699,48296,4,0,1473,11307,0.11166898261345315,0.6473305283747863,0.2338347721253613,1.9366802395673455e-05,0.0,0.00713182498220675,1.3007113172362867,0.054745108671969946
low,78718,10115,60591,5774,470,943,822,3209,0.12849665895983128,0.7697222998551793,0.07335044081404507,0.00597068014939404,0.011979471023145912,0.010442338474046596,1.1367809661070336,0.04076577148809675
low,190874,57709,105472,21716,0,0,5974,7794,0.30234081121577583,0.5525739493068726,0.11377138845521129,0.0,0.0,0.03129813384745958,1.5078207503794794,0.04083321982040508
low,217399,64474,108674,14714,438,4,29092,9848,0.29656990142548956,0.499882704152273,0.06768200405705638,0.0020147286786047773,1.8399348663057327e-05,0.13381846282641593,1.6896802561116957,0.045299196408447144
low,252094,106761,98790,19025,174,0,27342,15024,0.4234967908795925,0.3918776329464406,0.07546788102850524,0.0006902187279348179,0.0,0.10845954286892984,1.690768797665627,0.059596817060302905
low,353965,135053,142689,59234,10246,126,6615,20834,0.3815433729323521,0.4031161273007218,0.1673442289491899,0.02894636475357733,0.0003559673979065727,0.018688288390095065,1.7496632544184256,0.058858926730043934
low,162947,23264,80431,30406,2711,12243,13889,9261,0.14277034864096916,0.4936022142168926,0.18660055109943724,0.016637311518469197,0.07513485980103961,0.08523630382885232,2.037338202479901,0.056834430827201486
low,282136,92289,148490,5706,0,0,35649,14139,0.3271082031360762,0.5263064621317379,0.020224288995378117,0.0,0.0,0.12635395695692858,1.5056393258232117,0.050114129356055234
low,240983,51084,84907,102390,245,1431,922,9684,0.21198175804932298,0.35233605690027925,0.42488474290717604,0.0010166692256300238,0.0059381782117410775,0.0038259960246158444,1.6140892101609874,0.040185407269392445
low,275430,44894,200021,17892,64,3480,9077,14070,0.16299604255164651,0.7262135569836256,0.06496024398213703,0.00023236394002105798,0.012634789238645028,0.032955741930799115,1.262708090348288,0.051083759939004464
low,110720,10372,81493,8703,1,7268,2880,5969,0.09367774566473988,0.7360278179190751,0.07860368497109826,9.031791907514451e-06,0.06564306358381503,0.02601156069364162,1.3289024232260305,0.053910765895953755
low,315315,34469,96864,164550,59,1209,18161,14314,0.10931608074465217,0.3071975643404215,0.5218590932876647,0.00018711447282875854,0.00383426097711812,0.05759637188208617,1.6320891440274912,0.04539587396730254
low,197183,89906,89280,12818,1396,260,3520,8236,0.4559520851188997,0.45277736924582745,0.06500560393137339,0.0070797178255731985,0.0013185720878574724,0.01785143749714732,1.4573887933775123,0.04176830659843901
low,239601,17938,80730,117018,0,10939,12974,10468,0.07486613161046907,0.3369351546946799,0.48838694329322496,0.0,0.04565506821757839,0.05414835497347674,1.7448198874991607,0.04368930012812968
low,112462,12014,78711,9678,2213,4708,5135,4679,0.10682719496363216,0.6998897405345805,0.08605573438139105,0.01967775782041934,0.04186302928989347,0.0456598673329658,1.5160091373726325,0.04160516441108997
low,104487,16724,82208,4520,0,899,134,4769,0.16005818905701188,0.7867773024395379,0.04325897001540861,0.0,0.008603941160144324,0.0012824561907222908,0.9626407871497219,0.045642041593691084
low,238522,37041,116938,81113,2126,803,496,10205,0.1552938513009282,0.4902608564409153,0.3400650673732402,0.008913223937414578,0.0033665657675183004,0.0020794727530374555,1.5574976410603079,0.042784313396667814
low,143406,2763,112633,17697,0,13,10298,7357,0.019266976277143216,0.7854134415575359,0.12340487845696833,0.0,9.065171610671799e-05,0.07181010557438322,1.0300487445592683,0.05130189810747109
low,243064,76209,131098,12606,44,0,23105,13163,0.3135347069084686,0.5393558898067998,0.05186288384952111,0.0001810222821972814,0.0,0.09505726886745877,1.5514238198913646,0.054154461376427605
low,143001,19084,89192,27327,0,715,6679,7033,0.13345361221250202,0.623715918070503,0.1910965657582814,0.0,0.004999965035209544,0.04670596709113922,1.5134745831324217,0.04918147425542479
low,283873,52664,138686,48951,9687,21402,12480,15737,0.18551958093936374,0.48854945697547847,0.17243978821515255,0.03412441479112138,0.07539286934650354,0.04396332162622017,2.0386655967463554,0.05543676221408869
low,378730,113731,149441,43727,0,59273,12555,21154,0.3002957251868085,0.39458453251656855,0.11545692181765374,0.0,0.15650463390806116,0.03315026536054709,1.991838789331971,0.05585509465846381
low,146384,52390,66366,9663,152,20,17789,8734,0.35789430538856704,0.45336922067985574,0.06601131271177178,0.0010383648486173352,0.00013662695376543885,0.12152284402666959,1.6883444245065267,0.05966499070936714
low,278122,64532,161982,13754,179,22886,14786,13448,0.232027671309713,0.5824134732239808,0.04945311769655043,0.0006436024478466284,0.08228762916993262,0.053163719518772336,1.686145811850654,0.048352881109728824
low,234250,19737,131805,62184,686,10359,9475,10842,0.08425613660618997,0.5626680896478121,0.2654599786552828,0.0029284951974386337,0.044221985058697975,0.04044823906083245,1.6862601093756053,0.046283884738527216
low,557118,205253,208246,134822,0,24,8771,30628,0.36841925767970163,0.3737915486485807,0.2419990020067562,0.0,4.3078845056164046e-05,0.015743522916150617,1.6516754970198264,0.05497578609917468
low,195939,56846,118963,19877,0,35,215,11191,0.2901209049755281,0.6071430394153282,0.10144483742389213,0.0,0.00017862702167511317,0.0010972802760042667,1.3029278178850998,0.05711471427331976
low,195835,54992,71493,21547,0,34,47766,10833,0.28080782291214545,0.3650675313401588,0.11002629764853065,0.0,0.00017361554369750044,0.24390941353690607,1.894258153150837,0.05531697602573595
low,429458,98925,247473,60317,4,15576,7160,18129,0.23034848576577918,0.5762449412981013,0.14044912424497855,9.314065636220538e-06,0.03626897158744278,0.016672177488834764,1.6160748222790704,0.04221367397976054
low,422802,56616,192054,79711,14348,73556,6514,19292,0.1339066513403437,0.45424099223750125,0.18853032861717778,0.03393550645455792,0.17397268697877494,0.015406738851755667,2.056719366848462,0.04562892323120515
low,166127,31574,122036,12343,39,21,111,9476,0.19005941237727764,0.7345946173710475,0.0742985787981484,0.00023476015337663353,0.00012640931335664883,0.0006681635134565723,1.0723360405661952,0.057040697779409726
low,175156,41467,107775,10483,0,357,15071,7408,0.23674324602069013,0.6153086391559524,0.05984950558359405,0.0,0.0020381831053460915,0.08604329854529677,1.4890392505512537,0.04229372673502478
low,184827,53846,86425,27014,816,8991,7732,9580,0.29133189414966426,0.4675994308190903,0.14615829938266595,0.004414939375740557,0.048645490106964895,0.04183371477111028,1.8749268191354047,0.051832253945581545
low,131786,46393,59796,5495,9008,2851,8241,5941,0.35203284112121164,0.4537356016572322,0.041696386566099586,0.06835323934257054,0.021633557434021823,0.06253319776000485,1.8729808925939546,0.04508066107173751
